Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
Christin Stewart*\stewach02,104,416,369,32,86,25,1,10,40,0,1,34,103,0.233,0.305,0.388,0.693,81,143,4,7,0,6,3,6.419753086
Nick Senzel\senzeni01,104,414,375,55,96,20,4,12,42,14,5,30,101,0.256,0.315,0.427,0.742,89,160,6,3,0,1,0,7.703703704
Rio Ruiz*\ruizri01,127,413,370,35,86,13,2,12,46,0,1,40,88,0.232,0.306,0.376,0.682,81,139,12,0,1,2,0,9.407407407
Mike Yastrzemski*\yastrmi01,107,411,371,64,101,22,3,21,55,2,4,32,107,0.272,0.334,0.518,0.852,123,192,4,4,1,3,1,13.87037037
Tony Wolters*\wolteto01,121,411,359,42,94,17,2,1,42,0,1,36,68,0.262,0.337,0.329,0.666,64,118,9,8,2,6,5,0.74691358
Willson Contreras\contrwi01,105,409,360,57,98,18,2,24,64,1,2,38,102,0.272,0.355,0.533,0.888,125,192,4,9,0,2,2,15.55555556
Rowdy Tellez*\tellero01,111,409,370,49,84,19,0,21,54,1,1,29,116,0.227,0.293,0.449,0.742,95,166,9,7,0,3,3,14.38888889
Delino DeShields\deshide02,118,408,357,42,89,15,4,4,32,24,6,38,100,0.249,0.325,0.347,0.672,72,124,8,3,8,2,0,2.913580247
Harrison Bader\baderha01,128,406,347,54,71,14,3,12,39,11,3,46,117,0.205,0.314,0.366,0.68,78,127,3,10,1,2,4,9.481481481
Luis Rengifo#\rengilu01,108,406,357,44,85,18,3,7,33,2,5,40,93,0.238,0.321,0.364,0.685,84,130,6,5,1,3,0,4.666666667
Yasiel Puig\puigya01,100,404,373,51,94,15,1,22,61,14,5,23,89,0.252,0.302,0.475,0.777,95,177,9,5,0,3,1,13.58024691
Jose Peraza\perazjo01,141,403,376,37,90,18,2,6,33,7,6,17,58,0.239,0.285,0.346,0.631,62,130,9,8,0,2,0,5.222222222
Melky Cabrera#\cabreme01,133,397,378,43,106,22,1,7,47,2,0,17,41,0.28,0.313,0.399,0.713,88,151,14,1,1,0,3,5.74691358
J.P. Crawford*\crawfjp01,93,396,345,43,78,21,4,7,46,5,3,43,83,0.226,0.313,0.371,0.684,87,128,4,2,3,3,0,4.018518519
Stephen Piscotty\piscost01,93,393,357,46,89,17,1,13,44,2,0,29,84,0.249,0.309,0.412,0.72,93,147,13,3,1,3,0,7.462962963
Dwight Smith Jr.*\smithdw02,101,392,357,46,86,16,3,13,53,5,1,26,82,0.241,0.297,0.412,0.708,86,147,8,4,1,4,0,8.104938272
Joe Panik*\panikjo01,103,388,344,33,81,17,1,3,27,4,2,36,38,0.235,0.31,0.317,0.627,69,109,5,3,1,4,2,1.907407407
Jesse Winker*\winkeje01,113,384,338,51,91,17,2,16,38,0,2,38,60,0.269,0.357,0.473,0.83,111,160,10,8,0,0,2,11.16049383
Danny Jansen\janseda01,107,384,347,41,72,12,1,13,43,0,1,31,79,0.207,0.279,0.36,0.64,70,125,8,4,1,1,1,8.586419753
Fernando Tatis Jr.\tatisfe02,84,372,334,61,106,13,6,22,53,16,6,30,110,0.317,0.379,0.59,0.969,152,197,4,5,0,3,1,11.40740741
Ryan O'Hearn*\ohearry01,105,370,328,32,64,13,1,14,38,0,1,39,99,0.195,0.281,0.369,0.65,70,121,7,1,0,2,1,9.074074074
Yordan Álvarez*\alvaryo01,87,369,313,58,98,26,0,27,78,0,0,52,94,0.313,0.412,0.655,1.067,173,205,9,2,0,2,4,14.5
Asdrubal Cabrera#\cabreas01,93,368,323,45,76,15,0,12,51,4,0,38,85,0.235,0.318,0.393,0.711,80,127,6,3,0,4,1,6.888888889
Carson Kelly\kellyca02,111,365,314,46,77,19,0,18,47,0,0,48,79,0.245,0.348,0.478,0.826,112,150,11,2,0,1,10,12.33333333
Tucker Barnhart#\barnhtu01,114,364,316,32,73,14,0,11,40,1,0,44,83,0.231,0.328,0.38,0.708,82,120,5,2,1,1,7,7.740740741
Albert Almora\almoral01,130,363,339,41,80,11,1,12,32,2,1,16,62,0.236,0.271,0.381,0.651,66,129,8,1,5,2,4,9.62962963
Curtis Granderson*\grandcu01,138,363,317,44,58,17,1,12,34,0,3,41,98,0.183,0.281,0.356,0.637,69,113,3,3,0,2,1,10.22222222
Stevie Wilkerson#\wilkest01,117,361,329,41,74,18,2,10,35,3,3,22,108,0.225,0.286,0.383,0.669,76,126,5,7,1,2,0,7.222222222
Mitch Garver\garvemi01,93,359,311,70,85,16,1,31,67,0,0,41,87,0.273,0.365,0.63,0.995,156,196,5,5,0,2,0,17.7962963
