Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
Eric Hosmer*\hosmeer01,160,667,619,72,164,29,2,22,99,0,3,40,163,0.265,0.31,0.425,0.735,93,263,12,3,0,5,3,21.72839506
Cesar Hernandez#\hernace02,161,667,612,77,171,31,3,14,71,9,2,45,100,0.279,0.333,0.408,0.741,91,250,9,6,0,4,4,13.91358025
Paul DeJong\dejonpa01,159,664,583,97,136,31,1,30,78,9,5,62,149,0.233,0.318,0.444,0.762,97,259,15,13,0,6,1,29.44444444
Nolan Arenado\arenano01,155,662,588,102,185,31,2,41,118,3,2,62,93,0.315,0.379,0.583,0.962,129,343,14,4,0,8,11,39.22839506
Eugenio Suarez\suareeu01,159,662,575,87,156,22,2,49,103,3,2,70,189,0.271,0.358,0.572,0.93,134,329,12,11,0,6,4,48.09259259
Cody Bellinger*\bellico01,156,661,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,169,351,10,3,0,4,21,45.25925926
Manny Machado\machama01,156,661,587,81,150,21,2,32,85,5,3,65,128,0.256,0.334,0.462,0.796,109,271,24,6,0,3,3,30.81481481
Shin-Soo Choo*\choosh01,151,660,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,109,256,6,18,0,1,3,22.37037037
Juan Soto*\sotoju01,150,659,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,138,297,11,3,0,6,3,31.48148148
Josh Donaldson\donaljo02,155,659,549,96,142,33,0,37,94,4,2,100,155,0.259,0.379,0.521,0.9,127,286,13,8,0,2,2,35.40123457
J.D. Martinez\martijd02,146,657,575,98,175,33,2,36,105,2,0,72,138,0.304,0.383,0.557,0.939,140,320,19,4,0,5,9,32.44444444
Trevor Story\storytr01,145,656,588,111,173,38,5,35,85,23,8,58,174,0.294,0.363,0.554,0.917,118,326,3,7,0,3,0,31.32716049
Adam Eaton*\eatonad02,151,656,566,103,158,25,7,15,49,15,3,65,106,0.279,0.365,0.428,0.792,101,242,8,13,9,3,0,13.98148148
DJ LeMahieu\lemahdj01,145,655,602,109,197,33,2,26,102,5,2,46,90,0.327,0.375,0.518,0.893,136,312,14,2,1,4,0,23.27160494
Amed Rosario\rosaram01,157,655,616,75,177,30,7,15,72,19,10,31,124,0.287,0.323,0.432,0.755,102,266,13,3,2,3,2,14.53703704
Francisco Lindor#\lindofr01,143,654,598,101,170,40,2,32,74,22,5,46,98,0.284,0.335,0.518,0.854,118,310,13,3,1,6,9,28.24691358
Tommy Pham\phamth01,145,654,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,119,255,22,5,0,1,4,18.7962963
David Fletcher\fletcda02,154,653,596,83,173,30,4,6,49,8,3,55,64,0.29,0.35,0.384,0.734,97,229,8,0,1,1,2,5.703703704
Michael Conforto*\confomi01,151,648,549,90,141,29,1,33,92,7,2,84,149,0.257,0.363,0.494,0.856,128,271,11,10,0,5,5,30.75925926
Elvis Andrus\andruel01,147,648,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,78,236,16,4,0,10,1,10.88888889
Anthony Rendon\rendoan01,146,646,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,153,326,13,12,0,9,8,30.64197531
Michael Brantley*\brantmi02,148,637,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,289,21,7,0,4,3,20.09876543
Charlie Blackmon*\blackch02,140,634,580,112,182,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,123,334,11,9,0,5,1,27.65432099
Kris Bryant\bryankr01,147,634,543,108,153,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,131,283,10,15,0,2,1,28.12962963
Alex Gordon*\gordoal01,150,633,556,77,148,31,1,13,76,5,3,51,100,0.266,0.345,0.396,0.741,96,220,13,19,1,6,4,12.03703704
Yasmani Grandal#\grandya01,153,632,513,79,126,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,119,240,16,5,0,5,2,26.44444444
Kole Calhoun*\calhoko01,152,632,552,92,128,29,1,33,74,4,1,70,162,0.232,0.325,0.467,0.792,108,258,14,7,0,2,7,30.96296296
Ketel Marte#\marteke01,144,628,569,97,187,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,149,337,7,4,0,2,2,28.44444444
Randal Grichuk\grichra01,151,628,586,75,136,29,5,31,80,2,1,35,163,0.232,0.28,0.457,0.738,93,268,20,5,0,2,0,28.89506173
Kevin Pillar\pillake01,156,628,595,82,157,37,3,21,87,14,5,18,86,0.264,0.293,0.442,0.735,93,263,15,9,0,6,4,20.22222222
Nick Ahmed\ahmedni01,158,625,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,93,243,15,4,1,12,2,18.5308642
Lorenzo Cain\cainlo01,148,623,562,75,146,30,0,11,48,18,8,50,106,0.26,0.325,0.372,0.697,81,209,14,6,0,4,0,10.04938272
Jean Segura\segurje01,144,618,576,79,161,37,4,12,60,10,2,30,73,0.28,0.323,0.42,0.743,90,242,11,8,1,3,1,10.66666667
Victor Robles\roblevi01,155,617,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,88,229,6,25,6,5,3,16.2654321
Brandon Belt*\beltbr01,156,616,526,76,123,32,3,17,57,4,3,83,127,0.234,0.339,0.403,0.742,98,212,6,3,0,4,3,16.37037037
Andrew Benintendi*\beninan01,138,615,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,100,233,6,7,3,5,1,11.07407407
Josh Bell#\belljo02,143,613,527,94,146,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,143,300,11,5,0,7,13,32.66049383
Anthony Rizzo*\rizzoan01,146,613,512,89,150,29,3,27,94,5,2,71,86,0.293,0.405,0.52,0.924,137,266,15,27,0,3,3,24.33333333
Yuli Gurriel\gourryu01,144,612,564,85,168,40,2,31,104,5,3,37,65,0.298,0.343,0.541,0.884,126,305,12,5,0,6,2,27.55555556
Kyle Schwarber*\schwaky01,155,610,529,82,132,29,3,38,92,2,3,70,156,0.25,0.339,0.531,0.871,120,281,6,5,0,6,5,36.35802469
Adam Frazier*\fraziad01,152,608,554,80,154,33,7,10,50,5,5,40,75,0.278,0.336,0.417,0.753,99,231,6,9,4,1,4,9.382716049
Joey Votto*\vottojo01,142,608,525,79,137,32,1,15,47,5,0,76,123,0.261,0.357,0.411,0.768,98,216,14,4,0,3,2,13.14814815
Christian Walker\walkech02,152,603,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,111,252,11,6,0,1,6,27.20987654
Mike Trout\troutmi01,134,600,470,110,137,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,185,303,5,16,0,4,14,37.22222222
Renato Nunez\nunezre01,151,599,541,72,132,24,0,31,90,1,1,44,143,0.244,0.311,0.46,0.771,101,249,9,10,0,4,1,28.89506173
Max Kepler*\keplema01,134,596,524,98,132,32,0,36,90,1,5,60,99,0.252,0.336,0.519,0.855,122,272,5,8,0,4,0,29.77777778
J.T. Realmuto\realmjt01,145,593,538,92,148,36,3,25,83,9,1,41,123,0.275,0.328,0.493,0.82,108,265,12,5,0,8,2,22.37654321
Austin Meadows*\meadoau01,138,591,530,83,154,29,7,33,89,12,7,54,131,0.291,0.364,0.558,0.922,143,296,3,7,0,0,6,28.11111111
Eddie Rosario*\rosared01,137,590,562,91,155,28,1,32,109,3,1,22,86,0.276,0.3,0.5,0.8,106,281,10,0,0,6,2,27.0617284
Max Muncy*\muncyma01,141,589,487,101,122,22,1,35,98,4,1,90,149,0.251,0.374,0.515,0.889,133,251,5,8,0,4,1,30.46296296
Jason Heyward*\heywaja01,147,589,513,78,129,20,4,21,62,8,3,68,110,0.251,0.343,0.429,0.772,98,220,12,5,0,3,5,19.05555556
Hunter Dozier\doziehu01,139,586,523,75,146,29,10,26,84,2,2,55,148,0.279,0.348,0.522,0.87,125,273,9,3,0,5,2,22.30864198
Starling Marte\martest01,132,586,539,97,159,31,6,23,82,25,6,25,94,0.295,0.342,0.503,0.845,120,271,15,16,2,4,1,18.74074074
Mike Moustakas*\moustmi01,143,584,523,80,133,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,114,270,12,6,0,2,5,30.89506173
Willy Adames\adamewi01,152,584,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,95,222,9,3,3,1,1,18.7654321
Rougned Odor*\odorro01,145,581,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,79,229,4,5,1,1,2,26.85185185
Christian Yelich*\yelicch01,130,580,489,100,161,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179,328,8,8,0,3,16,35.30864198
Dexter Fowler#\fowlede01,150,574,487,69,116,24,1,19,67,8,5,74,142,0.238,0.346,0.409,0.754,98,199,6,8,1,4,1,17.59259259
Trea Turner\turnetr01,122,569,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,113,259,10,3,0,2,2,14.30864198
Jackie Bradley Jr.*\bradlja02,147,567,494,69,111,28,3,21,62,8,6,56,155,0.225,0.317,0.421,0.738,90,208,6,12,3,2,3,19.05555556
Mallex Smith*\smithma05,134,566,510,70,116,19,9,6,37,46,9,42,141,0.227,0.3,0.335,0.635,74,171,7,11,2,1,0,4.962962963
